title,make,model,year,condition,transmission,location,price
Peugeot 206 2004 Silver,Peugeot,206,2004,foreign used,manual,Kaduna / Kaduna State,"₦ 4,950,000"
Honda Accord 2012 Silver,Honda,Accord,2012,local used,automatic,Gwarinpa,"₦ 6,000,000"
Toyota Corolla 2012 Red,Toyota,Corolla,2012,local used,automatic,Abule Egba,"₦ 8,500,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,foreign used,automatic,Apapa,"₦ 12,000,000"
Toyota Camry 2008,Toyota,Camry,2008,local used,automatic,Alimosho,"₦ 6,800,000"
Toyota Camry 2015 Gray,Toyota,Camry,2015,foreign used,automatic,Ojodu,"₦ 17,000,000"
Acura MDX 2016 Black,Acura,MDX,2016,foreign used,automatic,Lekki,"₦ 22,000,000"
Toyota 4-Runner 2011 Silver,Toyota,4-Runner,2011,foreign used,automatic,Ojodu,"₦ 30,000,000"
Lexus IS 250 2014 White,Lexus,IS,,foreign used,manual,Gbagada,"₦ 21,500,000"
Toyota Matrix 2009 Gray,Toyota,Matrix,2009,local used,automatic,Ogba,"₦ 7,900,000"
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2006 Gold,Honda,Pilot,,local used,automatic,Ikotun/Igando,"₦ 4,300,000"
Toyota Camry 2007 Gray,Toyota,Camry,2007,foreign used,automatic,Apapa,"₦ 11,850,000"
Mercedes-Benz GLA 250 2016 White,,,,foreign used,automatic,Kubwa,"₦ 29,800,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,,,,foreign used,automatic,Apapa,"₦ 42,000,000"
Mercedes-Benz C300 2013 Silver,,,,foreign used,automatic,Wuye,"₦ 16,800,000"
Lexus RX 350 F Sport AWD 2018 White,Lexus,RX,,foreign used,automatic,Apapa,"₦ 58,500,000"
BMW M7 2019 Black,BMW,M7,2019,foreign used,automatic,Central Business District,"₦ 125,000,000"
Toyota Highlander SE 2012 Blue,Toyota,Highlander,,foreign used,automatic,Amuwo-Odofin,"₦ 20,000,000"
Mercedes-Benz GLE-Class 2016 White,,,,foreign used,automatic,Ajah,"₦ 77,000,000"
Peugeot 206 GTi 180 2006 Black,Peugeot,206,,foreign used,manual,Kaduna / Kaduna State,"₦ 7,100,000"
Toyota Matrix XRS Hatchback FWD (2.4L 4cyl 5A) 2009 Blue,Toyota,Matrix,,foreign used,automatic,Ikeja,"₦ 8,850,000"
Volkswagen Jetta 2016 White,Volkswagen,Jetta,2016,local used,automatic,Alimosho,"₦ 9,900,000"
Mercedes-Benz M Class 2009 White,,,,local used,automatic,Garki 2,"₦ 6,300,000"
Mercedes-Benz G-Class Base G 550 AWD 2020 Gray,,,,foreign used,automatic,Central Business District,"₦ 258,000,000"
Lexus RX 350 2012 Gray,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 22,700,000"
Chevrolet Cruze LT Auto Hatchback 2017 White,Chevrolet,Cruze,,foreign used,automatic,Galadimawa,"₦ 17,000,000"
Lexus ES 350 FWD 2016 Blue,Lexus,ES,,foreign used,automatic,Ikeja,"₦ 37,000,000"
Toyota Tacoma 2021 White,Toyota,Tacoma,2021,foreign used,automatic,Magodo,"₦ 49,500,000"
Ford Explorer 2013 Silver,Ford,Explorer,2013,foreign used,automatic,Apapa,"₦ 23,000,000"
Toyota Highlander LE 2022 Black,Toyota,Highlander,,foreign used,automatic,Central Business District,"₦ 55,500,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,local used,automatic,Osogbo,"₦ 8,000,000"
Land Rover Range Rover Evoque Pure Plus AWD 2013 Gray,Land,Rover,,local used,automatic,Gwarinpa,"₦ 14,500,000"
Toyota Avalon 2013 Gray,Toyota,Avalon,2013,foreign used,automatic,Apapa,"₦ 25,000,000"
